Symbol,Company Name,Exchange
20MICRONS,20 Microns Limited,NSE
21STCENMGM,21st Century Management Services Limited,NSE
360ONE,360 ONE WAM LIMITED,NSE
3IINFOLTD,3i Infotech Limited,NSE
3MINDIA,3M India Limited,NSE
3PLAND,3P Land Holdings Limited,NSE
5PAISA,5Paisa Capital Limited,NSE
63MOONS,63 moons technologies limited,NSE
AAATECH,AAA Technologies Limited,NSE
AADHARHFC,Aadhar Housing Finance Limited,NSE
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,NSE
AARNAV,Aarnav Fashions Limited,NSE
AARON,Aaron Industries Limited,NSE
AARTECH,Aartech Solonics Limited,NSE
AARTIDRUGS,Aarti Drugs Limited,NSE
AARTIIND,Aarti Industries Limited,NSE
AARTIPHARM,Aarti Pharmalabs Limited,NSE
AARTISURF,Aarti Surfactants Limited,NSE
AARVI,Aarvi Encon Limited,NSE
AAVAS,Aavas Financiers Limited,NSE
ABB,ABB India Limited,NSE
ABBOTINDIA,Abbott India Limited,NSE
ABCAPITAL,Aditya Birla Capital Limited,NSE
ABCOTS,A B Cotspin India Limited,NSE
ABDL,Allied Blenders and Distillers Limited,NSE
ABFRL,Aditya Birla Fashion and Retail Limited,NSE
ABINFRA,A B Infrabuild Limited,NSE
ABLBL,Aditya Birla Lifestyle Brands Limited,NSE
ABREL,Aditya Birla Real Estate Limited,NSE
ABSLAMC,Aditya Birla Sun Life AMC Limited,NSE
ACC,ACC Limited,NSE
ACCELYA,Accelya Solutions India Limited,NSE
ACCURACY,Accuracy Shipping Limited,NSE
ACE,Action Construction Equipment Limited,NSE
ACEINTEG,Ace Integrated Solutions Limited,NSE
ACI,Archean Chemical Industries Limited,NSE
ACL,Andhra Cements Limited,NSE
ACMESOLAR,Acme Solar Holdings Limited,NSE
ACUTAAS,Acutaas Chemicals Limited,NSE
ADANIENSOL,Adani Energy Solutions Limited,NSE
ADANIENT,Adani Enterprises Limited,NSE
ADANIGREEN,Adani Green Energy Limited,NSE
ADANIPORTS,Adani Ports and Special Economic Zone Limited,NSE
ADANIPOWER,Adani Power Limited,NSE
ADFFOODS,ADF Foods Limited,NSE
ADL,Archidply Decor Limited,NSE
ADOR,Ador Welding Limited,NSE
ADROITINFO,Adroit Infotech Limited,NSE
ADSL,Allied Digital Services Limited,NSE
ADVAIT,Advait Energy Transitions Limited,NSE
ADVANCE,Advance Agrolife Limited,NSE
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,NSE
ADVENTHTL,Advent Hotels International Limited,NSE
ADVENZYMES,Advanced Enzyme Technologies Limited,NSE
AEGISLOG,Aegis Logistics Limited,NSE
AEGISVOPAK,Aegis Vopak Terminals Limited,NSE
AEPL,Artemis Electricals and Projects Limited,NSE
AEQUS,Aequs Limited,NSE
AEROENTER,Aeroflex Enterprises Limited,NSE
AEROFLEX,Aeroflex Industries Limited,NSE
AERONEU,Aeroflex Neu Limited,NSE
AETHER,Aether Industries Limited,NSE
AFCONS,Afcons Infrastructure Limited,NSE
AFFLE,Affle 3i Limited,NSE
AFFORDABLE,Affordable Robotic & Automation Limited,NSE
AFSL,Abans Financial Services Limited,NSE
AGARIND,Agarwal Industrial Corporation Limited,NSE
AGARWALEYE,Dr. Agarwal's Health Care Limited,NSE
AGI,AGI Greenpac Limited,NSE
AGIIL,Agi Infra Limited,NSE
AGROPHOS,Agro Phos India Limited,NSE
AHCL,Anlon Healthcare Limited,NSE
AHLADA,Ahlada Engineers Limited,NSE
AHLEAST,Asian Hotels (East) Limited,NSE
AHLUCONT,Ahluwalia Contracts (India) Limited,NSE
AIAENG,AIA Engineering Limited,NSE
AIIL,Authum Investment & Infrastructure Limited,NSE
AIRAN,Airan Limited,NSE
AIROLAM,Airo Lam limited,NSE
AJANTPHARM,Ajanta Pharma Limited,NSE
AJAXENGG,Ajax Engineering Limited,NSE
AJMERA,Ajmera Realty & Infra India Limited,NSE
AJOONI,Ajooni Biotech Limited,NSE
AKASH,Akash Infra-Projects Limited,NSE
AKG,Akg Exim Limited,NSE
AKI,AKI India Limited,NSE
AKSHAR,Akshar Spintex Limited,NSE
AKSHARCHEM,AksharChem India Limited,NSE
AKSHOPTFBR,Aksh Optifibre Limited,NSE
AKUMS,Akums Drugs and Pharmaceuticals Limited,NSE
AKZOINDIA,Akzo Nobel India Limited,NSE
ALANKIT,Alankit Limited,NSE
ALBERTDAVD,Albert David Limited,NSE
ALEMBICLTD,Alembic Limited,NSE
ALGOQUANT,Algoquant Fintech Limited,NSE
ALICON,Alicon Castalloy Limited,NSE
ALIVUS,Alivus Life Sciences Limited,NSE
ALKALI,Alkali Metals Limited,NSE
ALKEM,Alkem Laboratories Limited,NSE
ALKYLAMINE,Alkyl Amines Chemicals Limited,NSE
ALLCARGO,Allcargo Logistics Limited,NSE
ALLDIGI,Alldigi Tech Limited,NSE
ALLTIME,All Time Plastics Limited,NSE
ALMONDZ,Almondz Global Securities Limited,NSE
ALOKINDS,Alok Industries Limited,NSE
ALPA,Alpa Laboratories Limited,NSE
ALPHAGEO,Alphageo (India) Limited,NSE
AMAGI,Amagi Media Labs Limited,NSE
AMANTA,Amanta Healthcare Limited,NSE
AMBER,Amber Enterprises India Limited,NSE
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,NSE
AMBIKCO,Ambika Cotton Mills Limited,NSE
AMBUJACEM,Ambuja Cements Limited,NSE
AMDIND,AMD Industries Limited,NSE
AMJLAND,Amj Land Holdings Limited,NSE
AMNPLST,Amines & Plasticizers Limited,NSE
AMRUTANJAN,Amrutanjan Health Care Limited,NSE
ANANDRATHI,Anand Rathi Wealth Limited,NSE
ANANTRAJ,Anant Raj Limited,NSE
ANDHRAPAP,ANDHRA PAPER LIMITED,NSE
ANDHRSUGAR,The Andhra Sugars Limited,NSE
ANGELONE,Angel One Limited,NSE
ANIKINDS,Anik Industries Limited,NSE
ANMOL,Anmol India Limited,NSE
ANTELOPUS,Antelopus Selan Energy Limited,NSE
ANTGRAPHIC,Antarctica Limited,NSE
ANTHEM,Anthem Biosciences Limited,NSE
ANUHPHR,Anuh Pharma Limited,NSE
ANUP,The Anup Engineering Limited,NSE
ANURAS,Anupam Rasayan India Limited,NSE
APARINDS,Apar Industries Limited,NSE
APCL,Anjani Portland Cement Limited,NSE
APCOTEXIND,Apcotex Industries Limited,NSE
APEX,Apex Frozen Foods Limited,NSE
APLAPOLLO,APL Apollo Tubes Limited,NSE
APLLTD,Alembic Pharmaceuticals Limited,NSE
APOLLO,Apollo Micro Systems Limited,NSE
APOLLOHOSP,Apollo Hospitals Enterprise Limited,NSE
APOLLOPIPE,Apollo Pipes Limited,NSE
APOLLOTYRE,Apollo Tyres Limited,NSE
APOLSINHOT,Apollo Sindoori Hotels Limited,NSE
APTECHT,Aptech Limited,NSE
APTUS,Aptus Value Housing Finance India Limited,NSE
AQYLON,Aqylon Nexus Limited,NSE
ARCHIDPLY,Archidply Industries Limited,NSE
ARCHIES,Archies Limited,NSE
ARE&M,Amara Raja Energy & Mobility Limited,NSE
ARENTERP,Rajdarshan Industries Limited,NSE
ARFIN,Arfin India Limited,NSE
ARIES,Aries Agro Limited,NSE
ARIHANTCAP,Arihant Capital Markets Limited,NSE
ARIHANTSUP,Arihant Superstructures Limited,NSE
ARIS,Arisinfra Solutions Limited,NSE
ARKADE,Arkade Developers Limited,NSE
ARMANFIN,Arman Financial Services Limited,NSE
AROGRANITE,Aro Granite Industries Limited,NSE
ARROWGREEN,Arrow Greentech Limited,NSE
ARSSBL,Anand Rathi Share and Stock Brokers Limited,NSE
ARTEMISMED,Artemis Medicare Services Limited,NSE
ARTNIRMAN,Art Nirman Limited,NSE
ARVIND,Arvind Limited,NSE
ARVINDFASN,Arvind Fashions Limited,NSE
ARVSMART,Arvind SmartSpaces Limited,NSE
ASAHIINDIA,Asahi India Glass Limited,NSE
ASAHISONG,Asahi Songwon Colors Limited,NSE
ASAL,Automotive Stampings and Assemblies Limited,NSE
